term,definition
thanatology,The scientific study of the mechanisms and forensic aspects of death.
theomatics,"The numerological study of the Greek and Hebrew text of the Christian Bible, based upon gematria and isopsephy, claimed to demonstrate the direct intervention of God in the writing of scripture."
thermionics,The science dealing with thermionic emission
thermology,The scientific study of heat.
thermometry,the science and technology related to the measurement of temperature and the design and construction of thermometers
thick origami,A materials science that studies applications of origami folding to thicker materials (other than the traditional thin sheets of paper)
thick origami,"A materials science technology where thick panel materials replace flat paper areas of conventional origami, and hinges or flexible materials connect the panels together and function as the folds and creases of conventional origami."
tonetics,The use or study of intonation.
topology,The topographical study of geographic locations or given places in relation to their history.
toponymy,Lexicological study of place names; a branch of onomastics
toxinomics,The study and classification of toxinomes
transferomics,The genomic study of horizontal gene transfer
transgenics,The study and practice of genetic modification by inserting genes from one species into the genetic material of another species.
tribology,"The science and engineering of interacting surfaces in relative motion; the study and application of technology using the principles of friction, lubrication and wear."
trichology,The science or study of hair
typhlology,The scientific study of blindness.
typtology,The supposed science or theory of the rapping sounds produced by spirits at a sance.
